iter	RMSE
0	4076.751935
1	3974.240936
2	3867.885206
3	3769.08624
4	3673.882636
5	3585.988695
6	3503.178912
7	3422.761213
8	3357.059531
9	3291.717151
10	3230.48872
11	3174.612674
12	3120.016443
13	3070.837038
14	3019.073817
15	2971.793037
16	2932.97748
17	2887.079793
18	2844.061918
19	2808.689796
20	2775.24019
21	2738.581242
22	2705.793367
23	2677.132901
24	2646.393448
25	2620.069223
26	2600.74356
27	2579.073574
28	2557.28871
29	2533.079031
30	2510.035659
31	2487.670038
32	2471.231277
33	2454.721368
34	2438.371064
35	2422.520771
36	2409.577255
37	2398.848609
38	2384.277409
39	2370.982989
40	2358.872363
41	2347.222899
42	2336.719049
43	2326.014733
44	2316.528488
45	2308.257352
46	2299.902926
47	2291.601953
48	2284.828528
49	2277.006453
50	2269.853134
51	2263.712206
52	2256.570028
53	2251.850446
54	2246.18925
55	2235.294098
56	2226.744603
57	2216.578457
58	2210.056998
59	2203.385353
60	2198.815029
61	2192.800883
62	2186.639111
63	2181.788275
64	2170.611014
65	2165.931846
66	2158.18545
67	2147.77543
68	2142.384748
69	2139.196937
70	2136.477859
71	2133.385027
72	2126.922271
73	2117.193633
74	2112.336088
75	2108.729712
76	2104.589152
77	2095.090152
78	2089.533697
79	2084.994152
80	2079.988156
81	2077.236455
82	2073.358617
83	2065.974829
84	2057.869947
85	2053.818312
86	2051.174877
87	2048.119151
88	2045.447128
89	2042.913364
90	2038.727188
91	2036.414609
92	2033.822993
93	2029.556899
94	2025.780448
95	2021.943704
96	2019.574124
97	2017.778862
98	2013.529157
99	2010.032989
100	2007.948719
101	2003.697258
102	2001.281463
103	1993.163921
104	1990.033419
105	1986.580702
106	1983.808844
107	1977.084992
108	1969.959461
109	1966.680645
110	1965.096105
111	1963.560294
112	1961.809835
113	1958.712144
114	1952.994409
115	1947.697435
116	1943.038874
117	1940.275662
118	1936.069249
119	1934.379062
120	1931.304224
121	1929.081092
122	1923.526852
123	1922.150539
124	1920.763143
125	1918.917577
126	1917.234154
127	1914.992945
128	1912.611056
129	1910.716327
130	1908.159577
131	1906.051795
132	1902.276669
133	1899.483481
134	1898.364086
135	1896.289598
136	1894.773028
137	1893.012987
138	1891.608468
139	1890.279977
140	1888.500246
141	1885.530182
142	1883.429581
143	1881.118902
144	1878.976321
145	1877.608314
146	1872.993896
147	1871.512545
148	1869.248772
149	1867.380042
150	1865.133644
151	1863.828898
152	1861.323783
153	1855.097012
154	1852.733823
155	1847.967247
156	1846.519725
157	1844.384685
158	1840.93505
159	1838.459367
160	1837.313598
161	1835.203064
162	1833.855498
163	1828.331124
164	1825.844322
165	1823.529318
166	1821.509481
167	1819.36377
168	1818.091391
169	1815.770265
170	1810.459712
171	1809.236998
172	1807.537151
173	1804.659683
174	1802.824175
175	1800.735258
176	1798.615228
177	1794.349398
178	1793.122944
179	1791.112095
180	1788.347518
181	1783.55111
182	1781.901163
183	1779.723744
184	1778.985942
185	1776.861193
186	1776.049498
187	1773.661021
188	1771.903441
189	1770.050616
190	1768.30054
191	1767.341387
192	1766.029208
193	1764.154034
194	1760.642968
195	1758.776579
196	1757.122496
197	1754.302777
198	1751.768179
199	1750.334728
200	1748.027725
201	1745.033621
202	1744.028139
203	1743.168279
204	1741.888986
205	1741.068789
206	1740.685943
207	1740.214779
208	1738.367053
209	1737.75168
210	1735.691386
211	1734.817861
212	1734.010911
213	1732.009616
214	1731.271461
215	1727.494377
216	1726.617157
217	1724.812596
218	1720.62896
219	1719.757296
220	1716.532946
221	1715.779757
222	1714.345919
223	1711.918204
224	1709.513147
225	1708.873894
226	1707.684496
227	1706.309483
228	1704.346753
229	1703.299086
230	1701.286004
231	1700.448391
232	1698.908066
233	1697.16191
234	1696.101783
235	1692.52593
236	1690.790658
237	1688.35617
238	1684.817972
239	1682.167816
240	1680.982951
241	1677.655717
242	1677.159624
243	1675.362947
244	1673.87113
245	1672.447982
246	1669.068618
247	1667.268765
248	1666.317136
249	1665.557663
250	1663.894138
251	1662.672627
252	1660.960931
253	1658.756788
254	1658.494967
255	1658.235544
256	1656.821307
257	1655.018877
258	1654.476857
259	1652.733121
260	1652.21658
261	1649.919896
262	1649.290273
263	1647.571979
264	1646.49339
265	1645.084564
266	1642.87114
267	1641.126108
268	1639.042356
269	1636.374697
270	1635.171264
271	1633.326176
272	1630.779965
273	1628.772973
274	1627.735871
275	1627.139434
276	1626.94424
277	1626.677754
278	1625.1459
279	1623.580771
280	1620.813969
281	1619.250623
282	1618.757454
283	1616.774618
284	1616.088905
285	1615.412484
286	1612.874346
287	1611.256432
288	1609.764174
289	1607.43643
290	1606.189926
291	1604.763397
292	1602.072528
293	1601.117241
294	1599.706174
295	1598.35135
296	1596.720521
297	1596.614069
298	1596.207216
299	1594.557764
300	1594.418195
301	1593.061162
302	1591.816209
303	1590.988101
304	1589.099668
305	1588.886151
306	1587.780745
307	1586.594574
308	1586.584283
309	1585.087909
310	1583.278786
311	1582.113156
312	1581.916435
313	1580.191741
314	1579.060263
315	1579.050584
316	1577.851342
317	1576.103574
318	1574.682563
319	1573.218248
320	1573.11926
321	1571.288687
322	1570.146069
323	1568.866845
324	1568.110431
325	1567.18906
326	1566.045579
327	1564.015002
328	1562.970746
329	1562.385194
330	1560.478402
331	1559.263637
332	1558.594801
333	1557.474953
334	1555.635394
335	1554.659466
336	1553.678037
337	1552.687969
338	1551.703826
339	1549.836084
340	1548.73002
341	1547.862776
342	1546.588088
343	1545.182655
344	1543.300838
345	1541.548311
346	1540.241566
347	1539.024993
348	1538.1444
349	1536.378254
350	1535.600862
351	1534.627711
352	1533.720887
353	1531.659229
354	1530.724524
355	1529.042545
356	1527.885408
357	1527.795897
358	1526.024386
359	1525.161466
360	1524.086487
361	1522.870378
362	1521.852102
363	1519.169387
364	1518.485755
365	1516.945098
366	1515.942207
367	1514.511556
368	1512.817597
369	1512.22722
370	1510.441295
371	1510.01835
372	1508.366315
373	1507.49594
374	1505.891627
375	1504.916163
376	1503.462037
377	1502.900018
378	1502.224087
379	1501.344885
380	1500.452411
381	1499.530834
382	1498.132498
383	1496.713134
384	1496.7035
385	1495.650105
386	1494.745699
387	1494.736261
388	1493.930345
389	1492.61992
390	1490.590005
391	1490.514399
392	1489.637991
393	1488.734242
394	1488.725102
395	1487.397849
396	1485.393788
397	1484.609966
398	1483.819803
399	1483.407844
400	1483.353105
401	1482.287592
402	1482.237752
403	1481.21281
404	1481.204406
405	1481.196217
406	1479.554919
407	1477.268092
408	1476.515294
409	1475.036877
410	1474.594834
411	1474.033542
412	1474.025325
413	1473.313128
414	1472.185382
415	1471.844463
416	1471.172004
417	1471.164259
418	1469.988223
419	1469.042442
420	1467.572282
421	1467.566567
422	1467.559015
423	1467.551657
424	1467.544487
425	1466.892057
426	1465.806227
427	1465.176884
428	1463.583534
429	1462.936073
430	1462.928968
431	1462.771418
432	1461.036335
433	1459.087822
434	1459.080711
435	1459.073782
436	1457.457229
437	1455.879978
438	1455.47782
439	1453.964497
440	1453.957665
441	1453.163634
442	1452.192942
443	1451.391598
444	1450.12242
445	1450.116077
446	1450.109896
447	1450.104009
448	1449.909954
449	1449.904108
450	1448.896026
451	1447.787334
452	1446.334957
453	1445.673323
454	1444.611441
455	1443.730476
456	1443.724992
457	1443.537892
458	1442.935769
459	1442.760923
460	1442.163099
461	1441.77205
462	1441.614631
463	1440.685494
464	1440.680896
465	1439.421745
466	1438.690261
467	1438.115001
468	1438.064442
469	1438.059929
470	1437.194002
471	1436.112457
472	1434.436081
473	1434.379309
474	1433.03336
475	1432.326943
476	1431.47308
477	1429.864965
478	1428.783643
479	1427.986047
480	1427.95188
481	1425.888042
482	1425.816705
483	1425.018643
484	1422.989595
485	1422.892554
486	1422.888418
487	1422.641734
488	1420.687886
489	1419.997729
490	1418.933373
491	1418.525726
492	1416.55627
493	1415.642201
494	1413.778806
495	1412.62057
496	1412.118619
497	1411.378994
498	1409.857115
499	1409.141832
500	1407.609688
501	1406.575967
502	1404.734479
503	1404.101205
504	1403.597521
505	1402.916404
506	1401.997348
507	1401.993241
508	1401.634281
509	1400.358809
510	1399.525532
511	1398.236889
512	1396.691326
513	1395.446934
514	1394.888385
515	1394.465717
516	1393.518534
517	1391.832351
518	1389.704529
519	1389.131405
520	1386.899193
521	1386.503411
522	1385.642767
523	1384.367845
524	1383.951925
525	1383.166277
526	1382.764006
527	1381.809999
528	1381.288571
529	1379.222838
530	1377.368075
531	1376.082924
532	1375.324089
533	1374.638427
534	1373.789823
535	1373.152786
536	1372.555416
537	1372.121278
538	1371.523058
539	1371.519091
540	1370.550606
541	1369.688429
542	1368.733935
543	1367.649172
544	1366.728617
545	1365.597582
546	1364.636359
547	1363.1422
548	1362.227286
549	1361.980139
550	1360.727165
551	1360.11282
552	1358.805114
553	1357.599032
554	1357.595117
555	1356.384834
556	1356.018846
557	1355.485988
558	1354.877542
559	1353.975528
560	1353.439573
561	1352.885986
562	1351.933355
563	1350.375257
564	1350.051009
565	1349.100102
566	1348.644398
567	1347.230497
568	1346.036033
569	1345.217835
570	1344.864254
571	1344.156271
572	1343.048917
573	1342.128085
574	1340.558618
575	1339.997969
576	1339.457335
577	1338.942245
578	1337.627366
579	1336.750604
580	1335.647595
581	1335.432481
