iter	Passed	Remaining
0	1	1406
1	2	1372
2	4	1382
3	5	1342
4	6	1319
5	7	1309
6	9	1309
7	10	1306
8	11	1311
9	13	1311
10	14	1315
11	15	1314
12	17	1310
13	18	1311
14	19	1311
15	21	1310
16	22	1312
17	24	1312
18	25	1310
19	26	1314
20	28	1316
21	29	1314
22	30	1310
23	32	1309
24	33	1306
25	34	1302
26	36	1301
27	37	1299
28	38	1295
29	40	1295
30	41	1294
31	42	1292
32	44	1292
33	45	1290
34	46	1287
35	48	1285
36	49	1283
37	50	1283
38	52	1282
39	53	1280
40	54	1280
41	56	1279
42	57	1277
43	58	1276
44	60	1274
45	61	1273
46	62	1272
47	64	1269
48	65	1267
49	66	1265
50	67	1264
51	69	1262
52	70	1261
53	71	1258
54	73	1256
55	74	1254
56	75	1252
57	77	1250
58	78	1248
59	79	1247
60	80	1244
61	82	1242
62	83	1241
63	84	1240
64	86	1239
65	87	1238
66	88	1237
67	90	1236
68	91	1235
69	92	1234
70	94	1233
71	95	1231
72	96	1230
73	98	1229
74	99	1228
75	100	1227
76	102	1225
77	103	1224
78	104	1223
79	106	1222
80	107	1220
81	108	1219
82	110	1218
83	111	1217
84	112	1215
85	114	1214
86	115	1213
87	116	1211
88	118	1211
89	119	1210
90	120	1208
91	122	1207
92	123	1206
93	125	1205
94	126	1204
95	128	1210
96	129	1208
97	131	1207
98	132	1205
99	133	1204
100	135	1202
101	136	1201
102	137	1199
103	139	1198
104	140	1197
105	141	1195
106	143	1193
107	144	1192
108	145	1190
109	146	1188
110	148	1187
111	149	1186
112	150	1184
113	152	1182
114	153	1180
115	154	1179
116	156	1178
117	157	1176
118	158	1175
119	160	1173
120	161	1172
121	162	1171
122	164	1170
123	165	1168
124	166	1167
125	168	1165
126	169	1164
127	171	1164
128	172	1164
129	173	1163
130	175	1161
131	176	1160
132	177	1159
133	179	1160
134	181	1161
135	183	1165
136	184	1163
137	186	1162
138	187	1160
139	188	1159
140	189	1157
141	191	1155
142	192	1154
143	194	1158
144	196	1157
145	197	1156
146	199	1155
147	200	1153
148	201	1152
149	203	1150
150	204	1149
151	205	1147
152	207	1146
153	208	1144
154	210	1149
155	212	1148
156	213	1148
157	215	1147
158	216	1146
159	218	1145
160	219	1144
161	221	1144
162	222	1143
163	224	1141
164	225	1141
165	226	1139
166	228	1138
167	229	1136
168	230	1134
169	232	1133
170	233	1131
171	234	1130
172	236	1129
173	237	1127
174	238	1125
175	240	1125
176	241	1124
177	243	1122
178	244	1120
179	245	1119
180	247	1117
181	248	1116
182	249	1115
183	251	1116
184	252	1114
185	254	1112
186	255	1110
187	256	1109
188	258	1107
189	259	1105
190	260	1104
191	262	1102
192	263	1100
193	264	1100
194	266	1098
195	267	1097
196	268	1095
197	270	1094
198	271	1092
199	272	1091
200	274	1089
201	275	1087
202	276	1085
203	277	1084
204	279	1082
205	280	1083
206	282	1081
207	283	1079
208	284	1077
209	286	1076
210	287	1074
211	288	1073
212	289	1071
213	291	1069
214	292	1067
215	293	1066
216	295	1065
217	296	1064
218	297	1062
219	299	1061
220	300	1059
221	301	1057
222	303	1056
223	304	1054
224	305	1053
225	307	1051
226	308	1050
227	309	1049
228	311	1047
229	312	1046
230	313	1044
231	315	1042
232	316	1041
233	317	1040
234	319	1038
235	320	1036
236	321	1035
237	322	1033
238	324	1032
239	325	1030
240	326	1029
241	328	1027
242	329	1025
243	330	1024
244	332	1023
245	333	1022
246	335	1021
247	336	1019
248	337	1018
249	338	1016
250	340	1015
251	341	1014
252	343	1012
253	344	1012
254	345	1010
255	347	1009
256	348	1008
257	350	1006
258	351	1005
259	353	1005
260	354	1004
261	355	1002
262	357	1001
263	358	999
264	359	998
265	361	996
266	362	995
267	363	993
268	365	992
269	366	991
270	368	990
271	369	988
272	370	987
273	372	985
274	373	984
275	374	983
276	376	982
277	377	980
278	379	979
279	381	979
280	382	978
281	383	977
282	385	975
283	386	974
284	387	972
285	389	971
286	390	969
287	391	968
288	393	967
289	394	966
290	396	964
291	397	963
292	398	962
293	400	961
294	401	960
295	403	958
296	404	957
297	405	955
298	407	954
299	408	954
300	410	952
301	411	951
302	412	950
303	414	948
304	415	947
305	417	945
306	418	944
307	419	942
308	420	940
309	422	939
310	423	937
311	424	936
312	425	934
313	426	932
314	428	930
315	429	928
316	430	926
317	431	925
318	432	923
319	433	921
320	434	920
321	436	918
322	437	916
323	438	915
324	439	913
325	441	911
326	442	910
327	443	908
328	444	906
329	445	905
330	447	903
331	448	901
332	449	900
333	450	898
334	452	897
335	453	895
336	454	894
337	455	892
338	456	890
339	458	889
340	459	887
341	460	885
342	461	884
343	462	882
344	464	881
345	465	879
346	466	878
347	467	876
348	469	874
349	470	873
350	471	871
351	472	870
352	473	868
353	475	866
354	476	865
355	477	863
356	478	862
357	480	861
358	481	860
359	483	858
360	484	857
361	485	855
362	486	854
363	488	852
364	489	851
365	490	849
366	491	847
367	493	846
368	494	845
369	496	845
370	497	844
371	499	842
372	500	841
373	501	839
374	503	838
375	504	836
376	505	835
377	507	834
378	508	833
379	510	832
380	511	831
381	513	830
382	514	829
383	515	827
384	516	825
385	518	823
386	519	822
387	520	820
388	521	819
389	522	817
390	524	816
391	526	816
392	527	814
393	528	813
394	529	811
395	530	809
396	531	807
397	533	806
398	534	804
399	535	803
400	536	801
401	537	800
402	539	798
403	540	796
404	541	794
405	542	793
406	543	791
407	544	790
408	545	788
409	546	787
410	548	785
411	549	784
412	550	782
413	552	781
414	553	779
415	554	778
416	555	777
417	556	775
418	558	773
419	559	772
420	560	771
421	561	769
422	562	767
423	563	765
424	564	763
425	566	762
426	567	761
427	568	759
428	569	758
429	571	757
430	572	755
431	573	754
432	574	752
433	576	751
434	577	750
435	578	748
436	580	748
437	582	746
438	583	745
439	584	744
440	585	742
441	586	740
442	588	739
443	589	738
444	590	736
445	591	734
446	592	733
447	593	731
448	594	730
449	595	728
450	597	726
451	598	725
452	599	724
453	600	722
454	601	721
455	603	719
456	604	717
457	605	716
458	606	714
459	607	713
460	609	712
461	610	711
462	611	709
463	612	708
464	613	706
465	615	704
466	616	703
467	617	701
468	618	700
469	620	699
470	622	698
471	623	697
472	624	696
473	625	694
474	627	693
475	628	691
476	629	690
477	630	688
478	632	687
479	633	686
480	634	684
481	635	682
482	636	681
483	637	680
484	639	678
485	640	677
486	641	675
487	642	674
488	643	672
489	644	671
490	646	669
491	647	668
492	648	667
493	649	665
494	651	664
495	652	663
496	653	661
497	655	660
498	656	658
499	657	657
500	659	656
501	660	655
502	662	654
503	663	652
504	664	651
505	666	650
506	667	649
507	668	647
508	670	646
509	671	645
510	672	643
511	673	642
512	675	641
513	677	640
514	678	639
515	680	638
516	681	636
517	682	635
518	684	634
519	685	632
520	686	631
521	687	629
522	688	628
523	690	626
524	691	625
525	692	624
526	694	623
527	695	622
528	697	620
529	698	619
530	699	617
531	700	616
532	701	615
533	703	613
534	704	612
535	705	610
536	706	609
537	708	608
538	709	606
539	710	605
540	711	603
541	712	602
542	714	600
543	715	599
544	716	598
545	717	596
546	718	595
547	720	594
548	721	592
549	722	591
550	723	589
551	725	588
552	726	587
553	727	585
554	728	584
555	729	582
556	731	581
557	732	580
558	733	578
559	734	577
560	736	576
561	737	575
562	739	573
563	740	572
564	742	571
565	743	569
566	744	568
567	745	567
568	747	566
569	748	564
570	749	563
571	751	561
572	752	560
573	753	559
574	754	558
575	756	556
576	757	555
577	758	553
578	759	552
579	761	551
580	762	549
581	763	548
582	764	546
583	765	545
584	767	544
585	768	543
586	770	541
587	771	540
588	772	538
589	773	537
590	774	536
591	775	534
592	777	533
593	778	531
594	779	530
595	780	529
596	781	527
597	783	526
598	784	525
599	785	523
600	786	522
601	788	521
602	789	519
603	790	518
604	791	516
605	793	515
606	794	514
607	795	513
608	797	511
609	798	510
610	799	509
611	800	507
612	802	506
613	803	505
614	804	503
615	805	502
616	807	500
617	808	499
618	809	498
619	811	497
620	812	495
621	813	494
622	815	493
623	816	491
624	817	490
625	818	489
626	819	487
627	821	486
628	822	485
629	824	484
630	825	482
631	827	481
632	828	480
633	829	478
634	830	477
635	832	476
636	833	474
637	834	473
638	835	472
639	837	470
640	838	469
641	840	468
642	841	467
643	842	465
644	844	464
645	846	463
646	848	463
647	850	461
648	851	460
649	852	459
650	854	458
651	855	456
652	856	455
653	858	453
654	859	452
655	860	451
656	861	449
657	862	448
658	864	447
659	865	445
660	866	444
661	868	443
662	869	442
663	871	440
664	872	439
665	873	438
666	874	436
667	876	435
668	877	434
669	878	432
670	879	431
671	881	430
672	883	429
673	884	427
674	885	426
675	886	425
676	888	423
677	889	422
678	890	421
679	891	419
680	893	418
681	894	416
682	895	415
683	897	414
684	898	413
685	899	411
686	900	410
687	902	409
688	903	407
689	904	406
690	905	404
691	906	403
692	907	402
693	909	400
694	910	399
695	911	398
696	913	396
697	914	395
698	915	394
699	916	392
700	917	391
701	919	390
702	920	388
703	921	387
704	922	386
705	923	384
706	925	383
707	926	382
708	927	380
709	928	379
710	930	378
711	931	376
712	932	375
713	933	374
714	935	372
715	936	371
716	937	370
717	938	368
718	940	367
719	941	366
720	943	364
721	944	363
722	945	362
723	946	360
724	947	359
725	949	358
726	950	356
727	951	355
728	952	354
729	954	352
730	955	351
731	956	350
732	958	348
733	959	347
734	960	346
735	961	344
736	962	343
737	964	342
738	965	340
739	966	339
740	967	338
741	969	337
742	971	335
743	972	334
744	973	333
745	974	331
746	975	330
747	977	329
748	978	327
749	979	326
750	980	325
751	981	323
752	983	322
753	984	321
754	986	320
755	987	318
756	989	317
757	990	316
758	991	314
759	993	313
760	994	312
761	995	311
762	997	309
763	998	308
764	999	307
765	1001	305
766	1002	304
767	1003	303
768	1005	301
769	1006	300
770	1008	299
771	1009	298
772	1010	296
773	1012	295
774	1014	294
775	1015	293
776	1016	291
777	1017	290
778	1019	289
779	1020	287
780	1021	286
781	1022	285
782	1024	283
783	1025	282
784	1027	281
785	1028	280
786	1029	278
787	1031	277
788	1032	276
789	1033	274
790	1034	273
791	1036	272
792	1037	270
793	1038	269
794	1040	268
795	1041	267
796	1043	265
797	1044	264
798	1045	263
799	1046	261
800	1047	260
801	1049	259
802	1050	257
803	1051	256
804	1052	255
805	1054	253
806	1056	252
807	1057	251
808	1058	249
809	1059	248
810	1061	247
811	1062	245
812	1063	244
813	1064	243
814	1066	242
815	1067	240
816	1068	239
817	1069	238
818	1071	236
819	1072	235
820	1073	234
821	1074	232
822	1076	231
823	1077	230
824	1078	228
825	1080	227
826	1081	226
827	1082	224
828	1083	223
829	1085	222
830	1086	220
831	1087	219
832	1088	218
833	1090	216
834	1091	215
835	1092	214
836	1093	213
837	1095	211
838	1096	210
839	1098	209
840	1099	207
841	1100	206
842	1101	205
843	1103	203
844	1104	202
845	1106	201
846	1107	200
847	1108	198
848	1109	197
849	1111	196
850	1112	194
851	1113	193
852	1115	192
853	1116	190
854	1117	189
855	1118	188
856	1120	186
857	1121	185
858	1122	184
859	1123	182
860	1125	181
861	1126	180
862	1127	179
863	1128	177
864	1130	176
865	1131	175
866	1132	173
867	1133	172
868	1135	171
869	1136	169
870	1137	168
871	1138	167
872	1140	165
873	1141	164
874	1142	163
875	1143	161
876	1145	160
877	1146	159
878	1147	158
879	1149	156
880	1150	155
881	1152	154
882	1153	152
883	1154	151
884	1156	150
885	1157	148
886	1158	147
887	1160	146
888	1161	145
889	1162	143
890	1164	142
891	1165	141
892	1167	139
893	1168	138
894	1169	137
895	1170	135
896	1172	134
897	1173	133
898	1174	131
899	1176	130
900	1177	129
901	1178	128
902	1180	126
903	1181	125
904	1182	124
905	1183	122
906	1185	121
907	1187	120
908	1188	118
909	1189	117
910	1190	116
911	1192	115
912	1193	113
913	1194	112
914	1195	111
915	1196	109
916	1198	108
917	1200	107
918	1201	105
919	1202	104
920	1203	103
921	1205	101
922	1206	100
923	1207	99
924	1208	98
925	1210	96
926	1211	95
927	1212	94
928	1214	92
929	1215	91
930	1216	90
931	1217	88
932	1219	87
933	1220	86
934	1221	84
935	1222	83
936	1223	82
937	1224	80
938	1226	79
939	1227	78
940	1229	77
941	1230	75
942	1231	74
943	1233	73
944	1234	71
945	1235	70
946	1236	69
947	1238	67
948	1239	66
949	1241	65
950	1242	64
951	1243	62
952	1244	61
953	1246	60
954	1247	58
955	1248	57
956	1249	56
957	1250	54
958	1252	53
959	1253	52
960	1255	50
961	1256	49
962	1257	48
963	1259	47
964	1260	45
965	1261	44
966	1262	43
967	1264	41
968	1265	40
969	1266	39
970	1268	37
971	1269	36
972	1270	35
973	1271	33
974	1273	32
975	1274	31
976	1275	30
977	1276	28
978	1278	27
979	1279	26
980	1280	24
981	1281	23
982	1283	22
983	1284	20
984	1286	19
985	1287	18
986	1288	16
987	1289	15
988	1291	14
989	1292	13
990	1293	11
991	1294	10
992	1296	9
993	1297	7
994	1298	6
995	1300	5
996	1301	3
997	1302	2
998	1304	1
999	1305	0
